id,submission_id,created_datetime_utc,author,score,body,sent,label
ne55iyj,1ngmuln,2025-09-14T10:06:39+00:00,batch_plan,4,Dude no-one went for Richmond until they started winning. Will interesting to see how many stick around for the rest re-build,0.7269,pos
ne9u9rd,1ngkj3h,2025-09-15T01:30:08+00:00,No-Bison-5397,1,Also true but Brisbane have been a top level team longer than the Tigers were at this point.,0.4767,pos
ne4k2wk,1ngjpw6,2025-09-14T06:41:10+00:00,BusinessPooh,29,i remember back in like 2019 at a richmond game they found a guy who was busy reading something so it went for a couple minutes before some kid ran over to him,0.3612,pos
ne8u406,1ngjpw6,2025-09-14T22:00:29+00:00,Anxious-Rhubarb8102,3,Richmond does this at home games.  A classic a few years ago was with the camera focused on a guy on his phone when another comes up behind him and drops his pants for a brown-eye.  The director took a couple of seconds to change the camera to another person.,0.3818,pos
ne54iln,1nghzjl,2025-09-14T09:56:39+00:00,Propaslader,5,"2001: **Brisbane** vs *Essendon*

2002: **Brisbane** vs *Collingwood*

2003: **Brisbane** vs *Collingwood*

2009: **Geelong** vs *St. Kilda*

2011: **Geelong** vs *Collingwood*

2012: **Sydney** vs *Hawthorn*

2018: **West Coast** vs *Collingwood*

2020: **Richmond** vs *Geelong* @ Gabba

2021: **Melbourne** vs *Western Bulldogs* @ Optus

These are all the interstate (and Geelong) teams who have won the grand final against a Melbourne based club since 2000. I've included 2020 and 2021 as all Vic teams played finals interstate. 

It seems there are enough examples in the past 25 seasons to suggest that it isn't ""the most one sided advantage/disadvantage"" in sports history. It appears it just depends on how good the team is and how well they match up to their opponents, regardless of where it's played",0.9382,pos
ne5420l,1nghmwk,2025-09-14T09:52:04+00:00,theveryrealJARED,10,what do you mean? everyone agreed tom lynch was a dog when he left gold coast for richmond,0.2732,pos
ne4myi8,1ngh93l,2025-09-14T07:07:09+00:00,Narrow-Note6537,60,"So many threads on this theme, but the reality is equalization has worked. 

- Melbourne could’ve had a dynasty, but kind of fucked it
- Richmond won 3 premierships
- Sydney have made more GFs than anyone
- Adelaide have many times been touching distance (05,06,17,25)
- Port have made plenty of top 4s
- Bulldogs have made 2 grand finals, and gone far in finals
- St Kilda were arguably the best team for 2 years in this period 
- GWS have made a GF and been very close to others
- WC have won 2, lost 2
- Fremantle have made 1, and made a couple other PFs
- GC are still new, but improving now
- North have made PFs
- Carlton… have looked.. ok at periods
- Essendon",0.9559,pos
ne3ztpw,1ngfnoh,2025-09-14T03:52:59+00:00,GreenOnions69,1,Would love for Richmond to win this so we're one step closer to no teams being winless or undefeated at the end of this round but i don't think it's happening,0.5267,pos
ne41ltq,1ngfnoh,2025-09-14T04:06:13+00:00,DVolition77,7,I love the Tigers - but this is very hard to watch. Tigers now goalless in 6 of the last 8 quarters of football. Sorry to say but whatever he’s doing isn’t working.,0.0285,neu
ne4fajn,1ngfnoh,2025-09-14T05:58:55+00:00,GreenOnions69,1,Only 1 win and 6% outside the 8 in 2023 tbf. This year they're way off but I think it's more that they started on the wrong foot and have struggled to right the ship because of a tough fixture. Richmond were the worst 2020 expansion side but are now the most successful one and I think that's a good enough reason for a one year extension.,-0.4138,neg
ne4fx00,1ngfnoh,2025-09-14T06:04:21+00:00,GreenOnions69,0,"Only making finals every second year. God forbid. Richmond was absolutely nowhere before he became coach, I'd say he's done pretty well to get them as far as he has. It's also a one year extension which is a pretty clear message that if he doesn't right the ship he's gone. Seems like a big overreaction to me.",0.8934,pos
ne4hr38,1ngfnoh,2025-09-14T06:20:20+00:00,helloworld1313,1,"Yeah fair enough I'll take that. I admit a lot of my frustration stems from the lack of comms from the club management.

Between scrapping their VFLW team in COVID, to then axing the partnership with Port Melbourne VFLW this year, no real communication about the Sheerin trade, Yassir wanting out - and then not announcing Ferguson's resigning on their website, socials or in our email comms to members, instead just letting it quietly be announced by AFLW hoping it goes under the rug. All of it combined over recent years just leaves a bit of a bad feeling on the overall management

I think I'm just frustrated with the club's lack of communication on what the plans are to move forward, build depth, and improve. If Richmond had actually made a proper announcement and statement about Ferguson's signing and what the ambition is, I would feel much more confident for the future. Instead it feels like they're saying ""hopefully no one notices it asks us a question""",0.4327,pos
ne58w1c,1ngfnoh,2025-09-14T10:39:06+00:00,GreenOnions69,1,"The worst team in the league? Richmond has won 11 games since the start of the 2023 season, GWS has won 4. You don't become the worst team in the league in 5 games when another team has lost 21 games out of 25 lol. Get real.",-0.0772,neg
ne5lhsm,1ngfnoh,2025-09-14T12:21:06+00:00,DangerousRoy,1,"I don’t know what to tell you, a poor start is only a “poor start” if you turn it around later in the season, sometimes the team is just bad. And if you think this Richmond team is gonna come good by the end of the year you are mistaken.",-0.7351,neg
ne3cmin,1ngdhfq,2025-09-14T01:20:45+00:00,mjdb87,3,"As an Australian who has started following Baseball and The Dodgers recently after seeing a game over there I say welcome and enjoy. 

Collingwood are big rivals of my team Richmond but they have a fantastic squad and are great to watch in full flight.",0.9398,pos
ne382zr,1ngdhfq,2025-09-14T00:52:46+00:00,brodyonekenobi,8,"Welcome dude!

Collingwood are the big BIG team of the competition - think New England Patriots, Manchester City, Barcelona FC or the New Zealand All Blacks. You'd have no problem supporting them and getting success but they are universally hated as a result.

If you want something similar but without as much universal despise, something like Geelong (always plays finals), Sydney Swans (consistently pops up for a grand final) or Richmond (massive club and just finished a 3 premierships dynasty) is a better shout.

For something obscure, join one of the smaller, mall neutral-fan accepted teams.",0.9143,pos
ne3ez8v,1ngdhfq,2025-09-14T01:35:30+00:00,DozzaTheDestroyer_10,4,"Welcome, man. If you're looking for ongoing success, I recommend supporting Collingwood, Geelong, or Brisbane. If you're looking for upcoming success in the next few years, I recommend following Gold Coast, Gws, St Kilda, Richmond, or Hawthorn. If you're looking for just a casual team that isn't too flashy but not too trash, I recommend following Fremantle, Port Adelaide, Bulldogs, Sydney, or Adelaide. If you're looking for constant disappointment, follow Carlton. Hopes this helps.",0.9437,pos
ne4vnfx,1ngdhfq,2025-09-14T08:28:46+00:00,t-4y,1,"There's no bad choice and you can support whoever you like! 😊 But I can give you the lowdown on the Pies.

Collingwood (Pies) have a huge fanbase, the second largest to the Swans, so you'll have company that's for sure. They're the popular ones.

Collingwood are considered a good team, they're recent grand final winners and they're into the semi finals this year, so you shouldn't have to worry about them being knocked out of the ladder too early (at least for now).

Collingwood are based in Melbourne, so if you're not Melbourne based or you're in another state, you might not have as many opportunities to watch them play on home soil, or you might not have as many local comrades if you're backing Collingwood over your local team - take it from me a Pies supporter in Sydney 😂

Collingwood have a reputation for inconsistent and nail-biter games. My friends and I joke that Collingwood will enter the final quarter 40 points ahead and somehow manage to just squeak by. They love to be super far behind and make huge comebacks, or be leading by a mile and fumble it. They're not for the faint of heart! (Swans also have a reputation of dominating the ladder then fumbling it at the very end).

Collingwood are direct rivals with Carlton and Richmond, so if you for some reason enjoy those two teams or live in those suburbs, Collingwood might not be the team for you. I've gotten mean looks walking around Carlton with a Collingwood gersey on.

Collingwood's star player is Bobby Hill, if there's something about Bobby Hill you don't like you'll struggle to fit in because he is God to Collingwood fans.

And lastly, as I mentioned, Collingwood have a huge fanbase, so if you're looking to root for the underdog or a smaller team, then they wouldn't be for you.

But overall, AFL is a very peaceful and respectful sport, there's no ""bad"" team or malice between teams and fans. You're never going to be cast out for supporting any one particular team. Welcome to the AFL family!",0.998,pos
ne4lqab,1ngci20,2025-09-14T06:56:01+00:00,Swuzzlebubble,2,"The week before at the G was super loud when Carlton stole it at the end.
That's really only been compared to one of the Richmond efforts ",0.5994,pos
ne4dbc6,1ngci20,2025-09-14T05:41:59+00:00,slowover,1,I think its 2 wins 2 losses all away from home - broadly similar to our 55% away win rate for the year. Considering the losses were Geelong and Brisbane you cant blame the jersey colour (wins were Richmond and N Melbourne).,0.6293,pos
ne3ry4x,1ngbua6,2025-09-14T02:58:51+00:00,gregsamuels87,-1,Richmond also lost their QF in 2020 from 3rd spot…just saying,-0.3182,neg
nebagj0,1ngbua6,2025-09-15T08:29:23+00:00,Segfreid_,1,What about Richmond in 2018?,0.0,neu
nebajjn,1ngbua6,2025-09-15T08:30:18+00:00,Plenty_Area_408,1,Richmond Def Hawks in the QF.,0.0,neu
ne2x4qw,1ngbid7,2025-09-13T23:45:36+00:00,Kummakivi,12,"Dusty, Reiwolt, Cotchin back to Richmond, 10 years younger again.",0.0,neu
nehwrr1,1ngbid7,2025-09-16T09:50:03+00:00,Happy_Piccolo_247,1,Gawn to richmond!,0.0,neu
ne2y63e,1nfw4cf,2025-09-13T23:51:44+00:00,Ray57,5,"Actually it's ... Brisbane!

Team | Total_BAC_percent
---|---
Richmond | 0.807981745090177
Hawthorn | 0.707308993453616
Geelong Cats | 0.692308987788118
Collingwood | 0.47365223052736
Brisbane Lions | 0.406402513674205
West Coast Eagles | 0.338654496726808
Melbourne | 0.30432724834924
Sydney Swans | 0.233654496726808
Western Bulldogs | 0.229327248363404
Port Adelaide | 0.0493272483634041

If the last 24 years was a 24hr-long drinking session and each club mascot sculled a bottle of vodka on their hour of glory: this would be how pissed they'd be.",-0.2481,neg
ndzj4l9,1nfw4cf,2025-09-13T13:00:14+00:00,NuuuDaBeast,10,if you're crediting 7 straight years of making finals (not this decade) that means you're including the Richmond era,0.3612,pos
ndzlfqk,1nfw4cf,2025-09-13T13:14:20+00:00,Pretend-Device-91,-7,"Yeah you answered for me pretty much , it’s since 2020 so the mother 13 years are irrelevant , 2020 still inexperienced and beat future premiers Richmond . While in the 2020 grand final , at the time perennial prelim final chokers Geelong who finally made it back to the GF blew it in a different way  , even in 2022 Geelong were probably the best team this decade but the lions still had 2 finals wins as a team expected to get bounced first week , so yeah Brisbanes failures of 2020 of 2022 don’t even compare to the Geelong failures of 2021 and 2023",0.7475,pos
ndzxhzq,1nfw0fo,2025-09-13T14:24:16+00:00,DJHitchcock,3,"Also features Carlton beating Richmond from 9th, Geelong’s Grand Final over Port and St Kildas only flag.",0.0,neu
ndzcnee,1nfvyuw,2025-09-13T12:17:47+00:00,Darth_Lehnsherr,22,"First reigning premier to win a final since Richmond in 2020. Should be a cracking prelim final and I'm sure Brisbane will be in most people's minds as underdogs but there's no reason they can't win. Neale's loss while big has been a tad overstated the midfield without him beat Freo, Hawthorn and Gold Coast's midfield. 

Gold Coast still a fantastic season I reckon the Essendon game did tell in the end with their lack of run towards the end. They'll be scary next year when you also include their academy players.",0.761,pos
ndzqwbh,1nfvyuw,2025-09-13T13:47:06+00:00,default99,4,"Yeah i suspect Dimma is building them into a beast like he did with the Richmond team a few years ago, they are going to be great the next few years and will certainly have a pull for bringing in good players with the coach and playing group being strong as still pretty much developing.   
  
Good to see them finally make finals this year, I'm sure the AFL was starting to worry about them. I think i will be hating on them very soon",0.9531,pos
ne0jge7,1nfvyuw,2025-09-13T16:13:18+00:00,SlipperyBandicoot,1,3-1 against Dimma in finals now. (Including beating Richmond in the 2020 Qualifying final before they went on to win the GF). The only team to beat Richmond in finals in their three premiership years.,0.2023,pos
ndzdha7,1nfv7gd,2025-09-13T12:23:31+00:00,tyr4nt99,40,"No they haven't. The last 10 years has only seen one repeat winner and that club, Richmond, hadn't won a flag in 37 years. In the last 24 years 2 new clubs entered which will skew the stats as well. It's also not the AFLs fault that certain clubs have poor planning, strategy or policy that means they aren't seeing success and players leave.",-0.3045,neg
ne2xhyn,1nfv7gd,2025-09-13T23:47:45+00:00,Outriderr,9,"I’m getting sick of this even competition BS. The everyone gets a turn idea is rubbish. Every club gets the same opportunity to recruit, attract free agents, develop players (biggest part), trade and rebuild. Some clubs can do it on the fly (Geelong/Sydney) and others go the full rebuild (Richmond/North). Problem is, stuff the rebuild and you’ll spent the better part of 8-10 years rebuilding.

If your club isn’t right off field (Essendon, Carlton, Eagles e.t.c) you simply aren’t going to compete at the optimum level. My club Brisbane was a great example of it, we were a basket case off field and it reflected on field until Swan, Fagan, Noble, Daly and Co got on board and fixed it. Everyone focuses on the list however off field is probably more important to get right than on field.",0.9286,pos
ne2oipe,1nfv7gd,2025-09-13T22:56:26+00:00,Familiar_Degree5301,1,"These teams seem to recruit well and peak when needed (finals time) would really like to know what the secret elixir is that makes Geelong, Brisbane, Richmond, Hawks etc. grow a leg come finals.",0.5984,pos
ne4oi3h,1nfv7gd,2025-09-14T07:21:38+00:00,No_Independent936,1,"That's nothing compared to the late 60's right until 1990 when the competition was dominated by Carlton, Richmond and Hawthorn. Collingwood were always up there but choked while North and Essendon had their small patch but only 5 different teams won a flag for a 22 year period",0.3291,pos
ne1z1h2,1nfv7gd,2025-09-13T20:34:21+00:00,TheHickeyStand,29,"It’s a great observation and I think it shows OP’s leading question is missing a few things. Namely that luck and mismanagement still plays a part in all of this. 

If you’d told me in 2001 that Geelong and Sydney would be two of the dominant teams of the next 20 years and that Essendon and North Melbourne would be two of the worst performed teams I’d have laughed you out of the room. 

But the Bombers and the Roos in particular have been victims of poor draft choices, poor management, poor decisions off-field. The AFL can only do so much. 

A team like the Tigers are great example of different management strategies. They’ve finished on top once on this period, only played five prelims, but won three flags - one fewer than the Cats, Lions and Hawks but one more than the Magpies. And now they’re on the way down again. 

The Lions? They were a laughing stock less than a decade ago. The Hawks? They haven’t won a flag in a decade. 

And there’s teams like the Power who should have won a flag with a little more luck. The Blues and the Demons, who are a mix of unlucky and poor management. 

I just think it’s a very simple way to look at things to say that equalisation doesn’t work.",0.9807,pos
ne3o4ky,1nfv7gd,2025-09-14T02:34:03+00:00,wcadams88,0,Always a Richmond supporter,0.2732,pos
ne05pxx,1nfv7gd,2025-09-13T15:05:46+00:00,Annual-Okra4059,18,"Agree, people just love to whinge about anything.

Crickets when richmond, dogs and melbourne all ended their premiership droughts within 5 years of each other",0.7717,pos
ndz9d5o,1nfv7gd,2025-09-13T11:54:42+00:00,Albeg2,72,"How long though? If 10 years then it's 2 hawks, 1 dogs, 1 pies, 1 eagle, 1 dees, 1 cats and 3 tigers. 7 different wins in past 10 years doesn't feel bad.",0.7615,pos
ne3894y,1nfv7gd,2025-09-14T00:53:47+00:00,Ok-Sentence8193,6,What it does prove is that many factors go into a premiership winning team. Just as important as players/welfare/coaches/performance/medical is Front Office. I mean how fortuitous was Brendon Gale & Peggy O’Neal’s decision to persevere with Damien Hardwick after the 2016 review ?? If he was sacked would Richmond have won multiple premierships with a new coach ?? Would Dusty have re-signed after a Hardwick sacking ?? Serendipity plays its part as does an astute Front Office. I support the Lions 🦁 and we badly needed a Front Office overhaul before we could think about a premiership. Part of Carlton’s woe is a historical Front Office dearth of leadership. All parts make up the tapestry of a great club.,0.8577,pos
ndzi7sn,1nfv7gd,2025-09-13T12:54:36+00:00,WearyScrabbler,15,"You've missed last year I think, and counted 2014-23.
So add in Lions in place of 1x Hawks. 8 winners in 10 years with Richmond as the only repeat. 

I do technically still agree with the original 25 point though haha",0.8271,pos
ne3nbew,1nfv7gd,2025-09-14T02:28:36+00:00,dwadley,1,"Tigers, dogs and dees broke huge premiership droughts",-0.128,neg
ne3v1sa,1nfv7gd,2025-09-14T03:19:34+00:00,wcadams88,0,Haha who says I didnt? Just mentioned everytime there is a Cats story Richmond supporter have the worst take loll. Good luck remaining an irrelevant club for the next 30 years,0.7096,pos
ndzg0d1,1nfv7gd,2025-09-13T12:40:25+00:00,StockholmSyndrome85,4,"I grew up in Perth but have lived in Melbourne for nearly a decade so I've got to see both standpoints. 

Melbourne during grand final week is awesome. The entire city is up, it's incredible. There's a party atmosphere here, partly to do with winter being over and the days getting longer but it's a proper event. Which the Vic government gives the AFL a lot of money for. 

BUT. 

It's clearly biased but it's not even Vicbias (TM). It's Collingwood, Carlton, Essendon and Richmond bias. With smatterings of Hawthorn and Geelong thrown in. Everything is geared towards them being successful, the fixture, the coverage, everything. It's a self licking ice cream. 

The fact it was unilaterally decided by the AFL without consultation to extend for thirty years at one venue that those four big clubs play at every week, it all gives them an advantage.",0.9764,pos
ne314io,1nftsut,2025-09-14T00:09:45+00:00,CrispyJimJam,2,"One of Fagans key pillars is kicking. 

He has stated many times that the fastest way to move a football is to kick it. So his philosophy is based on balancing that control and aggression with kicking decisions. 

For a few years we were a much more controlled kicking team, defending by lots of sideways kicking. 

But recently we have used kicking as a form of aggression, mainly due to Dayne Zorko. 

That's in contrast to some run and handball teams, GWS and peak Richmond come to mind.",-0.5267,neg
ne3xj1t,1nfsnkg,2025-09-14T03:36:46+00:00,winterpassenger69,0,I did the Collingwood one the year they beat Richmond . It wasn't at mcg tho it was across Bridge at tennis centre. From memory people were dressed nice,0.4215,pos
ndyqoyx,1nfrt5h,2025-09-13T09:06:59+00:00,Created_By_InGen,6,Eatem Alive Richmond Suns!,0.4389,pos
ndysb1m,1nfrt5h,2025-09-13T09:23:21+00:00,Created_By_InGen,2,Suns coaching box littered with Richmond Royalty,0.0,neu
ndzaf8p,1nfrt5h,2025-09-13T12:02:20+00:00,MediumForeign4028,2,"I didn’t mind dimma as coach of Richmond, but for whatever reason can’t stand him at the suns.",0.0,neu
ndywdd7,1nfrt5h,2025-09-13T10:03:26+00:00,PKMTrain,1," I'm with some randoms from the races at the pub


A North fan a Richmond fan and Essendon fan",0.7096,pos
ndz5yk8,1nfrt5h,2025-09-13T11:28:32+00:00,shocking_red_4,1,Dimma hasn’t won a final without Richmond’s help since 2004.,0.3489,pos
ndz1fbk,1nfrt5h,2025-09-13T10:50:10+00:00,Bobblefighterman,2,"Should have been on the Tigers selection committee.  Always rated him, even before his draft.",0.0,neu
ndys6ei,1nfrt5h,2025-09-13T09:22:02+00:00,PKMTrain,1,Richmond to Southern Cross vs Robina to Southbank,0.0,neu
ndyt8vl,1nfrt5h,2025-09-13T09:32:53+00:00,doshajudgement,2,"while you're there, you can relive the memory of richmond's most recent premiership (which they won in Queensland, obviously)

clearly the heart of football, other states just don't understand ball",0.7506,pos
ndy0n3p,1nfm141,2025-09-13T05:01:32+00:00,dphi0001,3,Feels a lot like the men’s 2024 season with that random loss to Richmond lol,0.4588,pos
ndxg5tc,1nflpg8,2025-09-13T02:33:06+00:00,kazoodude,2,"Especially when the players are publicly saying that they aren't happy with him. It should be a mature, ""we want him to stay and he's contracted. I think we'll convince him to stay and we won't trade him unless we find a deal that is best for our club"" 

Richmond has a heap of players jump ship last year and they just took the picks and ran and had an impressive start to their rebuild.",0.8625,pos
ndxrxto,1nflpg8,2025-09-13T03:54:42+00:00,Davichitime,14,"Hardwicks early years at Richmond were rough and almost got sacked in 16. Richmond had just enough patience to keep him for 17, which I hardly doubt the bombers would have.   

If he was at the bombers instead of knights he would have suffered the same fate.",-0.6605,neg
ndxx40h,1nflpg8,2025-09-13T04:33:36+00:00,Noonewantsyourapp,3,"Richmond had a good number of well-rated veterans, and just needed more good youth to start rebuilding. Essendon is if anything the opposite of that. Already young, with few well-rated veterans. ",0.7269,pos
ndxt0i9,1nflpg8,2025-09-13T04:02:29+00:00,AndrewTyeFighter,8,"Essendon fans after the club appoints Matthew Knights as coach - ""He has never won anything in his life, why bring him and his loser-Richmond culture to the club?""

Essendon after Richmond wins just one flag - ""gotta collect 'em all!""",0.2486,pos
ndxurnh,1nflpg8,2025-09-13T04:15:37+00:00,BusinessPooh,4,probably shouldn’t have gone for the guy who was quietly pushed aside for balmey then (might’ve been sacked if balmey didn’t play with dan’s dad at richmond),0.34,pos
ndwymw6,1nfjh3g,2025-09-13T00:43:02+00:00,tbot888,10,"We have too much uncertainty to feel optimistic.

One huge list of ACLs isn’t a bad injury list, it’s diabolical.  And some might not come back the same players. Some won’t do a preseason abd be lucky to play in 2026

Our senior group is in disarray led by the captain, ruck and a best and fairest winning defender all out or wanting out.

Essendon is where Richmond is at without the picks in a “super draft”.

We will be bottom 4

And a club fan base who hasn’t even seen a finals win in 20 plus years ain’t feeling optimistic about one.   We are easily clearly behind a dozen sides on our best day.   A mountain of work to do",0.9783,pos
ndx3784,1nfjh3g,2025-09-13T01:11:18+00:00,ShorthairSasquatch,4,"They call it a super draft because all the top teams will get better with all the matches bids for top rated academy prospects.

Only people walking away from this draft happy are West Coast, Tigers and finals teams with academies.",0.936,pos
ndwdgsf,1nfgvph,2025-09-12T22:37:13+00:00,Hot-Avocado789,10,Black Diamond was as close as i got to professional AFL...Go Gosford Tigers.,0.34,pos
ndwdvtn,1nffj0o,2025-09-12T22:39:36+00:00,Critback,28,Bruce Monteath captained Richmond to the 1980 premiership but notoriously sat on the bench more than he played.,0.5416,pos
ndxbgj3,1nffj0o,2025-09-13T02:02:50+00:00,theveryrealJARED,5,"he was a very good player, hard to win awards when you're playing for that Richmond team",0.8787,pos
ndtc19o,1nf36a6,2025-09-12T13:36:35+00:00,pala_,3,"Why wouldn't you look to the objectively funny 2013 occurrence when 9th placed Carlton was gifted a finals spot after Essington was docked points, and then eliminated 5th placed Richmond, before being eliminated by Sydney as an example for a 'wildcard' effect.

Let me know if you need to know how that finals series ended up.",0.4404,pos
ndwvpyj,1nf1r07,2025-09-13T00:25:04+00:00,bdm68,1,"Hawthorn shouldn't get their hopes up of winning the flag, at least not yet.

* The last time a team won a premiership from the lowest place in the finals was in 1969 when Richmond won the premiership from fourth.
* The last time such a team made the Grand Final was in 1988 from fifth in the final five. It never happened under the final six systems and hasn't happened yet under the final eight systems.",0.871,pos
ndwm8qh,1nf1r07,2025-09-12T23:28:23+00:00,shporto,3,North were not a true 8th place team that year. Coming into the last round they had Richmond and with a win would have gone to 7th and made Richmond finish 6th. They rested 9 senior players and made Harvey sub. Lost by 40 points then played Richmond (now 5th) again in the Elimination Final and won.,0.7405,pos
